peak_freq_khz	peak_dbfs	start_freq_khz	end_freq_khz	max_freq_khz	min_freq_khz	duration_ms	peak_signal_index	start_signal_index	end_signal_index
41.878	-19.2	67.346	39.288	67.346	39.288	3.5	21120	20160	21312
39.722	-16.7	86.672	37.003	86.672	33.254	7.5	52032	50688	53376
42.667	-13.9	82.555	39.582	82.555	39.582	4.0	86592	85440	86784
41.522	-9.4	94.866	38.664	94.866	38.664	4.5	117888	116544	118080
41.433	-12.5	52.047	37.165	52.047	37.165	2.5	152256	151680	152448
41.709	-6.7	90.977	38.251	90.977	38.251	4.5	184128	182784	184320
40.74	-18.4	70.174	36.209	70.174	36.209	4.0	220800	219648	220992
41.664	-6.2	68.139	33.503	68.139	33.503	4.0	254016	253056	254400
43.36	-9.1	51.45	40.718	51.45	36.627	5.5	283200	282816	284736
41.401	-7.9	52.664	32.604	52.664	32.604	3.0	311040	310464	311424
42.829	-9.6	70.483	40.704	70.483	30.791	6.5	342912	341952	344256
41.261	-12.2	68.562	32.773	68.562	32.773	4.0	374208	373248	374592
