peak_freq_khz	peak_dbfs	start_freq_khz	end_freq_khz	max_freq_khz	min_freq_khz	duration_ms	peak_signal_index	start_signal_index	end_signal_index
49.932	-21.1	55.409	49.672	55.409	48.644	6.0	26880	26112	28224
52.148	-23.5	72.413	49.398	72.413	48.59	8.0	59136	58560	61440
52.484	-19.8	65.377	49.303	65.377	48.757	6.0	91584	91008	93120
49.169	-13.8	56.201	49.513	56.201	48.66	4.5	126144	125376	126912
49.111	-14.1	68.973	48.86	68.973	48.534	6.0	157632	156480	158592
50.504	-10.5	75.467	50.634	75.467	48.947	5.5	188928	188160	190080
49.377	-24.7	66.05	49.534	66.05	48.539	5.5	225792	224832	226752
50.219	-13.4	71.694	48.809	71.694	48.809	5.0	258048	257088	258816
49.443	-27.8	77.899	49.419	77.899	48.407	7.5	291264	290304	292992
50.739	-13.0	60.774	49.503	60.774	48.783	7.0	326208	325632	328128
49.816	-25.4	80.817	49.361	80.817	48.205	6.5	365760	364800	367104
48.888	-10.6	68.777	49.321	68.777	48.888	5.0	400704	399552	401280
49.813	-21.3	57.671	48.932	57.671	47.06	15.0	468480	467904	473472
52.022	-16.7	60.34	48.707	60.34	46.809	13.0	535680	535104	539904
