time_s	frequency_hz	amplitude_dbfs	signal_index
0.05344	52914.0	-40.5	20520
0.0535	53029.0	-36.5	20544
0.05356	52111.0	-34.6	20568
0.05362	51641.0	-32.9	20592
0.05369	51320.0	-31.1	20616
0.05375	50676.0	-30.0	20640
0.05381	50175.0	-28.9	20664
0.05388	49753.0	-27.6	20688
0.05394	49329.0	-26.2	20712
0.054	48959.0	-24.8	20736
0.05406	48470.0	-23.9	20760
0.05412	47895.0	-23.3	20784
0.05419	47360.0	-22.7	20808
0.05425	46832.0	-22.3	20832
0.05431	46324.0	-21.9	20856
0.05438	45821.0	-21.7	20880
0.05444	45403.0	-21.4	20904
0.0545	44986.0	-20.9	20928
0.05456	44753.0	-20.2	20952
0.05462	44445.0	-19.7	20976
0.05469	43888.0	-19.9	21000
0.05475	43231.0	-20.1	21024
0.05481	43002.0	-19.6	21048
0.05488	42786.0	-19.1	21072
0.05494	42277.0	-19.1	21096
0.055	41878.0	-19.2	21120
0.05506	41498.0	-19.2	21144
0.05512	41151.0	-18.9	21168
0.05519	41058.0	-18.2	21192
0.05525	40835.0	-17.9	21216
0.05531	40422.0	-18.2	21240
0.05538	40118.0	-18.8	21264
0.05544	39753.0	-19.7	21288
0.0555	39288.0	-20.9	21312
0.05556	38658.0	-22.3	21336
0.05562	37955.0	-23.9	21360
0.05569	37003.0	-25.8	21384
0.13219	82296.0	-31.0	50760
0.13225	80886.0	-31.2	50784
0.13231	79350.0	-32.3	50808
0.13238	77279.0	-33.2	50832
0.13244	76284.0	-31.5	50856
0.1325	75756.0	-28.9	50880
0.13256	74718.0	-27.4	50904
0.13262	73319.0	-27.4	50928
0.13269	71882.0	-27.6	50952
0.13275	70859.0	-27.2	50976
0.13281	69558.0	-27.1	51000
0.13288	68426.0	-26.8	51024
0.13294	67374.0	-26.7	51048
0.133	66182.0	-27.4	51072
0.13306	64637.0	-29.1	51096
0.13312	63080.0	-30.3	51120
0.13319	61969.0	-30.0	51144
0.13325	61409.0	-29.3	51168
0.13331	60047.0	-29.5	51192
0.13338	59572.0	-29.1	51216
0.13344	58642.0	-29.4	51240
0.1335	58081.0	-30.7	51264
0.13356	56609.0	-34.6	51288
0.13362	54114.0	-39.4	51312
0.13369	53092.0	-40.2	51336
0.13375	53130.0	-36.9	51360
0.13381	53264.0	-32.7	51384
0.13388	52901.0	-29.5	51408
0.13394	52555.0	-27.6	51432
0.134	51449.0	-27.1	51456
0.13406	50853.0	-26.1	51480
0.13412	50218.0	-25.1	51504
0.13419	49605.0	-24.1	51528
0.13425	49050.0	-23.3	51552
0.13431	48330.0	-22.7	51576
0.13438	47836.0	-21.9	51600
0.13444	47223.0	-21.1	51624
0.1345	46698.0	-20.4	51648
