peak_freq_khz	peak_dbfs	start_freq_khz	end_freq_khz	max_freq_khz	min_freq_khz	duration_ms	peak_signal_index	start_signal_index	end_signal_index
40.835	-17.9	50.676	36.008	50.676	36.008	2.25	21216	20640	21408
41.55	-15.7	75.756	32.721	75.756	32.721	3.75	51936	50880	52224
41.035	-13.9	71.033	35.73	71.033	35.73	3.5	86688	85632	86880
40.042	-9.2	94.866	30.441	94.866	30.441	4.75	117984	116544	118272
41.433	-12.5	69.794	33.318	69.794	33.318	3.75	152256	151200	152544
43.561	-5.9	90.977	32.438	90.977	32.438	4.5	184032	182784	184416
42.416	-18.3	49.046	36.199	49.046	36.199	2.0	220704	220320	220992
40.29	-5.8	72.588	33.032	72.588	33.032	4.0	254112	252960	254400
43.36	-9.1	54.171	39.593	54.171	34.099	5.75	283200	282720	284832
41.401	-7.9	62.508	31.77	62.508	31.77	3.5	311040	310176	311424
42.828	-9.6	70.483	40.228	70.483	30.288	6.5	342912	341952	344352
39.799	-11.8	64.275	32.427	64.275	32.427	3.5	374304	373344	374592
