time_s	frequency_hz	amplitude_dbfs	signal_index
0.06794	57539.0	-34.9	26088
0.068	55409.0	-37.1	26112
0.06806	55568.0	-34.5	26136
0.06813	55918.0	-30.6	26160
0.06819	55948.0	-28.0	26184
0.06825	55488.0	-27.6	26208
0.06831	54494.0	-29.2	26232
0.06838	53565.0	-30.9	26256
0.06844	53610.0	-31.7	26280
0.0685	52420.0	-33.4	26304
0.06856	52095.0	-32.4	26328
0.06863	53311.0	-28.9	26352
0.06869	52641.0	-28.3	26376
0.06875	51507.0	-29.4	26400
0.06881	51261.0	-28.3	26424
0.06888	51805.0	-25.4	26448
0.06894	51864.0	-23.4	26472
0.069	51973.0	-22.5	26496
0.06906	51223.0	-23.9	26520
0.06913	50368.0	-25.7	26544
0.06919	50400.0	-25.7	26568
0.06925	50554.0	-25.0	26592
0.06931	50475.0	-24.8	26616
0.06938	50031.0	-25.6	26640
0.06944	49398.0	-25.6	26664
0.0695	50265.0	-23.0	26688
0.06956	50412.0	-20.8	26712
0.06963	50466.0	-19.7	26736
0.06969	50434.0	-20.0	26760
0.06975	49567.0	-21.6	26784
0.06981	49394.0	-22.1	26808
0.06988	49817.0	-21.2	26832
0.06994	50048.0	-20.5	26856
0.07	49932.0	-21.1	26880
0.07006	49759.0	-22.7	26904
0.07013	49187.0	-25.7	26928
0.07019	48147.0	-28.1	26952
0.07025	49273.0	-26.3	26976
0.07031	49938.0	-24.4	27000
0.07037	49673.0	-24.7	27024
0.07044	49273.0	-25.9	27048
0.0705	49274.0	-27.0	27072
0.07056	48809.0	-28.9	27096
0.07062	48275.0	-30.3	27120
0.07069	48732.0	-29.1	27144
0.07075	49466.0	-26.6	27168
0.07081	49855.0	-25.7	27192
0.07087	49700.0	-27.3	27216
0.07094	48058.0	-31.0	27240
0.071	48644.0	-30.5	27264
0.07106	50123.0	-27.8	27288
0.07112	49792.0	-28.9	27312
0.07119	48941.0	-32.3	27336
0.15219	83981.0	-53.3	58440
0.15225	78739.0	-50.2	58464
0.15231	76173.0	-48.6	58488
0.15238	73453.0	-44.7	58512
0.15244	73351.0	-37.7	58536
0.1525	72413.0	-35.6	58560
