peak_freq_khz	peak_dbfs	start_freq_khz	end_freq_khz	max_freq_khz	min_freq_khz	duration_ms	peak_signal_index	start_signal_index	end_signal_index
49.932	-21.1	55.488	48.304	55.488	48.304	3.25	26880	26208	27360
50.433	-22.2	72.413	49.014	72.413	48.59	4.75	59424	58560	60288
52.484	-19.8	72.823	50.161	72.823	48.757	5.75	91584	90912	93024
49.169	-13.8	73.833	49.513	73.833	48.66	5.0	126144	125088	126912
49.111	-14.1	75.929	49.189	75.929	48.534	6.25	157632	156384	158688
50.184	-9.6	86.167	50.634	86.167	48.947	5.5	189024	188064	190080
49.377	-24.7	66.05	49.271	66.05	48.539	3.75	225792	224832	226176
50.219	-13.4	82.063	48.809	82.063	48.809	5.0	258048	256992	258816
50.739	-13.0	70.099	49.503	70.099	47.414	7.0	326208	325536	328128
48.888	-10.6	78.123	49.321	78.123	48.339	5.0	400704	399456	401280
49.813	-21.3	57.671	48.738	57.671	47.06	6.5	468480	467904	470304
48.768	-16.2	60.34	48.787	60.34	46.809	12.5	536736	535104	539808
