time_s	frequency_hz	amplitude_dbfs	signal_index
0.03669	102488.0	-34.1	18345
0.03675	101399.0	-32.8	18376
0.03681	100048.0	-31.5	18407
0.03688	98787.0	-30.7	18438
0.03694	97621.0	-29.7	18469
0.037	96415.0	-28.8	18500
0.03706	95245.0	-27.9	18531
0.03712	94040.0	-26.9	18562
0.03719	92857.0	-26.2	18593
0.03725	91746.0	-25.5	18624
0.03731	90561.0	-24.8	18655
0.03737	89404.0	-24.1	18686
0.03743	88312.0	-23.6	18717
0.0375	87208.0	-22.9	18748
0.03756	86050.0	-22.3	18779
0.03762	84970.0	-21.9	18810
0.03768	83916.0	-21.5	18841
0.03774	82824.0	-20.9	18872
0.03781	81757.0	-20.4	18903
0.03787	80688.0	-20.0	18934
0.03793	79686.0	-19.6	18965
0.03799	78639.0	-19.2	18996
0.03805	77614.0	-18.8	19027
0.03812	76598.0	-18.5	19058
0.03818	75610.0	-18.2	19089
0.03824	74650.0	-17.8	19120
0.0383	73630.0	-17.5	19151
0.03836	72669.0	-17.2	19182
0.03843	71722.0	-17.0	19213
0.03849	70808.0	-16.7	19244
0.03855	69850.0	-16.5	19275
0.03861	68909.0	-16.2	19306
0.03867	68012.0	-16.0	19337
0.03874	67104.0	-15.8	19368
0.0388	66236.0	-15.6	19399
0.03886	65339.0	-15.4	19430
0.03892	64479.0	-15.2	19461
0.03898	63602.0	-15.1	19492
0.03905	62771.0	-14.9	19523
0.03911	61939.0	-14.8	19554
0.03917	61099.0	-14.7	19585
0.03923	60296.0	-14.5	19616
0.03929	59492.0	-14.4	19647
0.03936	58699.0	-14.4	19678
0.03942	57905.0	-14.3	19709
0.03948	57138.0	-14.2	19740
0.03954	56373.0	-14.2	19771
0.0396	55632.0	-14.1	19802
0.03967	54904.0	-14.0	19833
0.03973	54159.0	-14.0	19864
0.03979	53437.0	-14.0	19895
0.03985	52737.0	-14.0	19926
0.03991	52062.0	-14.0	19957
0.03998	51357.0	-14.0	19988
0.04004	50678.0	-14.0	20019
0.0401	50023.0	-14.0	20050
0.04016	49365.0	-14.1	20081
0.04022	48727.0	-14.1	20112
0.04029	48091.0	-14.2	20143
0.04035	47495.0	-14.3	20174
0.04041	46876.0	-14.4	20205
0.04047	46268.0	-14.5	20236
0.04053	45653.0	-14.6	20267
0.0406	45099.0	-14.7	20298
0.04066	44547.0	-14.8	20329
0.04072	44005.0	-14.9	20360
0.04078	43450.0	-15.1	20391
0.04084	42907.0	-15.3	20422
0.04091	42368.0	-15.5	20453
0.04097	41858.0	-15.6	20484
0.04103	41362.0	-15.8	20515
0.04109	40899.0	-16.1	20546
0.04115	40409.0	-16.3	20577
0.04122	39939.0	-16.5	20608
0.04128	39455.0	-16.7	20639
0.04134	39032.0	-17.0	20670
0.0414	38607.0	-17.3	20701
0.04146	38158.0	-17.7	20732
0.04153	37720.0	-18.0	20763
0.04159	37346.0	-18.3	20794
0.04165	36970.0	-18.6	20825
