peak_freq_khz	peak_dbfs	start_freq_khz	end_freq_khz	max_freq_khz	min_freq_khz	duration_ms	peak_signal_index	start_signal_index	end_signal_index
53.91	-14.0	96.403	31.856	96.403	31.856	6.0	19875	18500	21375
53.902	-14.0	96.38	31.815	96.38	31.815	6.0	59875	58500	61375
51.102	-14.0	96.42	31.783	96.42	31.783	6.0	100000	98500	101375
51.107	-14.0	96.421	31.806	96.421	31.806	6.0	140000	138500	141375
53.879	-14.0	96.402	31.786	96.402	31.786	6.0	179875	178500	181375
51.1	-14.0	96.404	31.754	96.404	31.754	6.0	220000	218500	221375
51.092	-14.0	96.364	31.781	96.364	31.781	6.0	260000	258500	261375
53.883	-14.0	96.428	31.792	96.428	31.792	6.0	299875	298500	301375
53.904	-14.0	96.394	31.738	96.394	31.738	6.0	339875	338500	341375
53.903	-14.0	96.442	31.797	96.442	31.797	6.0	379875	378500	381375
